validto (UTC),capacity (kW) aardgas,percentage aardgas,capacity (kW) afval,percentage afval,capacity (kW) biomassa,percentage biomassa,capacity (kW) electriciteitsmix,percentage electriciteitsmix,capacity (kW) kernenergie,percentage kernenergie,capacity (kW) overig,percentage overig,capacity (kW) steenkool,percentage steenkool,capacity (kW) wind,percentage wind,capacity (kW) wkk,percentage wkk,capacity (kW) zeewind,percentage zeewind,capacity (kW) zon,percentage zon
2024-10-13 11:00:00,1086500,0,277126,0.3552885055542,131743,0.13174425065517,20514935,0.56142699718475,479250,0.98814451694489,221000,1,430757,0.86151123046875,5684913,0.87814122438431,1384565,0,1833252,0.44089725613594,8985829,0.3920019865036
2024-10-13 12:00:00,1082750,0,270750,0.3471152484417,133560,0.13355949521065,19991320,0.54709076881409,479000,0.98762899637222,221000,1,436690,0.87338125705719,5694204,0.87957102060318,1352343,0,1766751,0.4249039888382,8554272,0.37316951155663
2024-10-13 13:00:00,1178500,0,258126,0.33092948794365,134614,0.13461324572563,19780358,0.54131174087524,479000,0.98762899637222,221000,1,440136,0.8802735209465,5442279,0.84065127372742,1372159,0,2400000,0.57720047235489,7854544,0.34263923764229
2024-10-13 14:00:00,1216750,0,263000,0.33717951178551,189946,0.18994599580765,18014186,0.49297276139259,479250,0.98814451694489,221000,1,621054,1.2421100139618,5082029,0.78499925136566,1394856,0,2164249,0.52050226926804,6382052,0.27840024232864
2024-10-13 15:00:00,1463000,0,266876,0.34214749932289,279942,0.27994200587273,16440439,0.44990074634552,479000,0.98762899637222,221000,1,915308,1.8306150436401,4515090,0.69742250442505,1451321,0,1489250,0.35816499590874,5359652,0.23379699885845
2024-10-13 16:00:00,2566250,0,263500,0.33782050013542,444184,0.44418299198151,14424672,0.3947339951992,479000,0.98762899637222,221000,1,1452316,2.9046325683594,3197876,0.49395599961281,1781133,0,1329751,0.31980526447296,2689662,0.11732587218285
2024-10-13 17:00:00,3986500,0,261376,0.33509600162506,545011,0.54501152038574,12702542,0.34760373830795,479000,0.98762899637222,221000,1,1781989,3.5639774799347,1707652,0.26376876235008,2031382,0,1095249,0.26340773701668,593383,0.025883577764034
2024-10-13 18:00:00,4565750,0,260876,0.33445501327515,554672,0.55467247962952,11981578,0.32787075638771,479750,0.98917549848557,221000,1,1813578,3.6271524429321,1034785,0.15983475744724,2071916,0,979251,0.23551000654697,0,0.0
2024-10-13 19:00:00,4748750,0,259376,0.33253198862076,561348,0.56134748458862,11859368,0.32452300190926,480000,0.98969101905823,221000,1,1835402,3.670804977417,882362,0.13629050552845,1996630,0,874500,0.21031774580479,0,0.0
2024-10-13 20:00:00,4587500,0,259250,0.3323715031147,539624,0.53962451219559,11129598,0.3045499920845,480000,0.98969101905823,221000,1,1764376,3.5287499427795,767161,0.11849524825811,1893188,0,617499,0.14850875735283,0,0.0
